date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:06	227/227	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Mar%202019%2016:32:54%20GMT	https://zenon.network/robots.txt		(from )
21:48:07	29242/29242	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2011:54:10%20GMT	https://zenon.network/	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/index.html	(from )
21:48:07	2274/2274	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2009:42:12%20GMT	https://zenon.network/css/normalize.css	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/css/normalize.css	(from https://zenon.network/)
21:48:07	45930/45930	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2011:54:24%20GMT	https://zenon.network/css/styles.css	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/css/styles.css	(from https://zenon.network/)
21:48:08	36600/36600	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2009:42:12%20GMT	https://zenon.network/css/fontawesome-all.min.css	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/css/fontawesome-all.min.css	(from https://zenon.network/)
21:48:08	2202/2202	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2009:42:12%20GMT	https://zenon.network/css/rSlider.min.css	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/css/rSlider.min.css	(from https://zenon.network/)
21:48:08	6318/6318	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2009:42:15%20GMT	https://zenon.network/img/apple-touch-icon.png	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/img/apple-touch-icon.png	(from https://zenon.network/)
21:48:08	1166/1166	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2009:42:15%20GMT	https://zenon.network/img/favicon-32x32.png	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/img/favicon-32x32.png	(from https://zenon.network/)
21:48:09	1136/1136	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2009:42:15%20GMT	https://zenon.network/img/favicon-16x16.png	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/img/favicon-16x16.png	(from https://zenon.network/)
21:48:09	426/426	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:15%20GMT	https://zenon.network/img/site.webmanifest	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/img/site.html	(from https://zenon.network/)
